"","State","StateFP","CountyName","GDXCountyName","CountyFP","ClassFP","FY","VetPop","TotX","CP","Cons","EduVoc","Loan","GOE","InsInd","MedCare","Uniques"
"16","AL","01","COFFEE COUNTY","COFFEE","031","H1","2015",7431.4192114165,72757.4582518412,"51919.658",0,6866.776,0,0,463.72,13507.3042518412,1878
"17","AL","01","COLBERT COUNTY","COLBERT","033","H1","2015",4739.8855634506,35180.6112077712,"23523.335",0,1389.346,0,0,347.872,9920.05820777119,1337
"18","AL","01","CONECUH COUNTY","CONECUH","035","H1","2015",1224.883714264,10327.6823967796,"6104.378",0,322.748,0,0,46.801,3853.7553967796,408
"19","AL","01","COOSA COUNTY","COOSA","037","H1","2015",1016.7959352387,8235.62155087264,"5102.328",0,267.064,0,0,21.517,2844.71255087264,272
"20","AL","01","COVINGTON COUNTY","COVINGTON","039","H1","2015",3482.1516087683,26493.7551473639,"18394.095",0,719.061,0,0,89.547,7291.05214736385,874
"21","AL","01","CRENSHAW COUNTY","CRENSHAW","041","H1","2015",926.1924255935,9910.16820184303,"6400.114",0,407.022,0,0,32.265,3070.76720184303,310
"22","AL","01","CULLMAN COUNTY","CULLMAN","043","H1","2015",7151.7129834577,43083.7013898624,"24922.381",0,2260.459,0,0,294.865,15605.9963898624,1488
"23","AL","01","DALE COUNTY","DALE","045","H1","2015",7300.5352944761,63093.0737501531,"43758.574",0,5104.229,0,0,385.233,13845.0377501531,2057
"24","AL","01","DALLAS COUNTY","DALLAS","047","H1","2015",2891.6722521148,29341.3702937978,"15673.929",0,1015.011,0,0,245.689,12406.7412937978,1032
"25","AL","01","DEKALB COUNTY","DE KALB","049","H1","2015",4471.72258798,28599.259711591,"16252.199",0,793.89,0,0,194.455,11358.715711591,1069
"26","AL","01","ELMORE COUNTY","ELMORE","051","H1","2015",9495.0015323995,74010.8638665194,"49888.739",0,5703.704,0,0,803.492,17614.9288665194,2189
"27","AL","01","ESCAMBIA COUNTY","ESCAMBIA","053","H1","2015",3048.993985815,20280.7968236326,"13660.825",0,757.278,0,0,175.085,5687.60882363262,789
"28","AL","01","ETOWAH COUNTY","ETOWAH","055","H1","2015",8886.9283407012,68214.3782880291,"42161.156",0,1959.004,0,0,243.585,23850.6332880291,2473
"29","AL","01","FAYETTE COUNTY","FAYETTE","057","H1","2015",1360.3396608243,12777.919201323,"6559.378",0,413.559,0,0,97.701,5707.28120132298,561
"30","AL","01","FRANKLIN COUNTY","FRANKLIN","059","H1","2015",1817.279758165,12082.9637493916,"7959.11",0,522.6,0,0,61.481,3539.77274939163,401
"31","AL","01","GENEVA COUNTY","GENEVA","061","H1","2015",2658.0542904865,24803.489202588,"18302.975",0,902.893,0,0,225.722,5371.89920258797,887
"32","AL","01","GREENE COUNTY","GREENE","063","H1","2015",484.4524795432,7055.33412252205,"3890.309",0,205.592,0,0,5.041,2954.39212252205,257
"33","AL","01","HALE COUNTY","HALE","065","H1","2015",896.8310089093,13206.5682310967,"6964.246",0,386.756,0,0,57.775,5797.79123109668,423
"34","AL","01","HENRY COUNTY","HENRY","067","H1","2015",1705.5771326836,11839.1928609175,"8648.545",0,403.489,0,0,138.215,2648.94386091752,444
"35","AL","01","HOUSTON COUNTY","HOUSTON","069","H1","2015",9156.924995248,73414.4341808562,"48231.084",0,4399.19,0,0,575.721,20208.4391808562,2947
"36","AL","01","JACKSON COUNTY","JACKSON","071","H1","2015",4058.6892726199,19885.728300689,"12569.393",0,720.073,0,0,298.352,6297.91030068902,819
"37","AL","01","JEFFERSON COUNTY","JEFFERSON","073","H1","2015",47407.89998429,447521.266663542,"194053.486",326.31432,21592.796,0,2837.41273,3563.777,225147.480613542,15224
"38","AL","01","LAMAR COUNTY","LAMAR","075","H1","2015",1228.5230821509,9510.74707515823,"5779.544",0,339.003,0,0,45.146,3347.05407515823,445
"39","AL","01","LAUDERDALE COUNTY","LAUDERDALE","077","H1","2015",7818.356978532,44766.61171396,"30871.727",0,2517.355,0,0,396.06,10981.46971396,1821
"40","AL","01","LAWRENCE COUNTY","LAWRENCE","079","H1","2015",2246.3137873781,11406.8975376526,"6887.864",0,393.998,0,0,88.063,4036.97253765258,487
"41","AL","01","LEE COUNTY","LEE","081","H1","2015",11345.7144652518,109461.637056208,"67993.543",0,12803.308,0,0,927.487,27737.2990562083,3079
"42","AL","01","LIMESTONE COUNTY","LIMESTONE","083","H1","2015",8791.1860971093,45824.4952359477,"29599.987",0,5465.752,0,0,237.017,10521.7392359477,1527
"43","AL","01","LOWNDES COUNTY","LOWNDES","085","H1","2015",749.7892339524,7594.51319123627,"4001.975",0,320.92,0,0,5.11,3266.50819123627,270
"44","AL","01","MACON COUNTY","MACON","087","H1","2015",1634.613848431,32594.758022032,"13629.88",0,829.356,0,640.22058,137.093,17358.208442032,890
"45","AL","01","MADISON COUNTY","MADISON","089","H1","2015",39245.229925466,231024.545911092,"153765.864",0,28910.632,0,0,2210.584,46137.4659110922,7487
"46","AL","01","MARENGO COUNTY","MARENGO","091","H1","2015",1424.3360330242,15285.5276008767,"9609.368",0,416.728,0,0,175.06,5084.3716008767,649
"47","AL","01","MARION COUNTY","MARION","093","H1","2015",2284.86568953,14508.4806823255,"8424.059",0,564.759,0,0,17.239,5502.42368232549,611
"48","AL","01","MARSHALL COUNTY","MARSHALL","095","H1","2015",7312.1751762181,43647.1323037195,"26463.177",0,2193.583,0,0,343.712,14646.6603037195,1822
"49","AL","01","MOBILE COUNTY","MOBILE","097","H1","2015",32582.978971646,219460.441529473,"122410.238",0,18579.066,0,387.30993,1767.425,76316.4025994729,9106
"50","AL","01","MONROE COUNTY","MONROE","099","H1","2015",1548.43747402,13583.3461200396,"7438.705",0,474.597,0,0,83.984,5586.0601200396,522
"51","AL","01","MONTGOMERY COUNTY","MONTGOMERY","101","H1","2015",19666.437194947,274150.623616921,"132209.876",7817.85966,18821.382,0,30573.40212,2098.493,82629.6108369208,6932
"52","AL","01","MORGAN COUNTY","MORGAN","103","H1","2015",9638.596668505,56608.098696852,"38010.417",0,3687.923,0,0,437.652,14472.106696852,1838
"53","AL","01","PERRY COUNTY","PERRY","105","H1","2015",729.9113750643,6737.74413145638,"3757.726",0,186.036,0,0,18.209,2775.77313145638,262
"54","AL","01","PICKENS COUNTY","PICKENS","107","H1","2015",1547.2564173461,17841.7867178894,"10124.055",0,354.892,0,0,100.801,7262.03871788935,695
"55","AL","01","PIKE COUNTY","PIKE","109","H1","2015",2332.2382476572,21749.5815895257,"12611.438",0,3393.395,0,0,64.793,5679.95558952571,590
"56","AL","01","RANDOLPH COUNTY","RANDOLPH","111","H1","2015",1764.8690983805,11701.6956824115,"7508.414",0,371.371,0,0,21.275,3800.63568241151,497
"57","AL","01","RUSSELL COUNTY","RUSSELL","113","H1","2015",5374.4777349397,93535.8009170264,"60935.308",9.82605,13966.157,0,751.9982,614.384,17258.1276670264,2525
"58","AL","01","ST. CLAIR COUNTY","SAINT CLAIR","115","H1","2015",7910.9652702182,44986.8031777961,"22241.353",0,2079.735,0,0,353.66,20312.0551777961,1773
"59","AL","01","SHELBY COUNTY","SHELBY","117","H1","2015",14637.055883734,82478.3733129385,"46879.392",0,6939.168,0,1211.71478,733.614,26714.4845329385,2867
"60","AL","01","SUMTER COUNTY","SUMTER","119","H1","2015",712.9174130208,7834.18048269666,"4589.178",0,174.529,0,0,25.018,3045.45548269666,295
"61","AL","01","TALLADEGA COUNTY","TALLADEGA","121","H1","2015",7131.6963165777,43811.4779660914,"23833.567",0,2047.942,0,0,222.952,17707.0169660914,1821
"62","AL","01","TALLAPOOSA COUNTY","TALLAPOOSA","123","H1","2015",3522.821504204,32202.2152780227,"19298.401",0,720.445,0,0,387.542,11795.8272780227,1073
"63","AL","01","TUSCALOOSA COUNTY","TUSCALOOSA","125","H1","2015",14022.616728192,150784.731679901,"56793.05",1702.96523,8662.409,0,1048.10365,926.08,81652.1237999008,5295
"64","AL","01","WALKER COUNTY","WALKER","127","H1","2015",5966.6216530109,46866.9088573278,"27698.655",0,1134.238,0,0,64.076,17969.9398573278,1642
"65","AL","01","WASHINGTON COUNTY","WASHINGTON","129","H1","2015",1562.4684056927,7793.90322214461,"4770.122",0,294.622,0,0,63.187,2665.97222214461,308
"66","AL","01","WILCOX COUNTY","WILCOX","131","H1","2015",622.6524128591,6304.58308173852,"3746.166",0,233.696,0,0,42.422,2282.29908173852,203
"67","AL","01","WINSTON COUNTY","WINSTON","133","H1","2015",1873.3448488044,12644.4586047773,"7437.861",0,452.962,0,0,39.226,4714.40960477734,486
"68","AK","02","ALEUTIANS EAST BOROUGH","ALEUTIANS EAST","013","H1","2015",146.8087039893,211.629481125728,"75.423",0,0,0,0,1.722,134.484481125728,11
"69","AK","02","ALEUTIANS WEST CENSUS AREA","ALEUTIANS WEST","016","H5","2015",343.0662074673,219.911396851124,"90.624",0,1.888,0,0,10.315,117.084396851124,21
"70","AK","02","ANCHORAGE MUNICIPALITY","ANCHORAGE","020","H6","2015",30154.8578586,284739.589290853,"114711.68",0,37218.534,0,8107.09763,1489.51,123212.767660853,9005
"71","AK","02","BETHEL CENSUS AREA","BETHEL","050","H5","2015",997.496480308,1828.63854406289,"726.883",0,141.431,0,0,7.772,952.552544062885,97
"72","AK","02","BRISTOL BAY BOROUGH","BRISTOL BAY","060","H1","2015",114.9197803035,314.965034079732,"207.664",0,0,0,0,0,107.301034079732,NA
"73","AK","02","DENALI BOROUGH","DENALI","068","H1","2015",232.6512958331,1224.99299025983,"608.659",0,56.292,0,0,5.842,554.199990259829,49
"74","AK","02","DILLINGHAM CENSUS AREA","DILLINGHAM","070","H5","2015",298.3335150275,729.659530938516,"352.052",0,55.188,0,0,2.531,319.888530938516,34
"75","AK","02","FAIRBANKS NORTH STAR BOROUGH","FAIRBANKS N. STAR","090","H1","2015",12861.436368119,90201.6526945551,"42611.345",0,15908.69,0,0,393.801,31287.8166945551,2611
"76","AK","02","HAINES BOROUGH","HAINES","100","H1","2015",275.938748357,970.360253456583,"589.527",0,47.74,0,0,0.136,332.957253456583,49
"77","AK","02","HOONAH-ANGOON CENSUS AREA","HOONAH-ANGOON","105","H5","2015",191.3303316902,720.102972935178,"435.647",0,2.903,0,0,9.775,271.777972935178,47
"78","AK","02","JUNEAU CITY AND BOROUGH","JUNEAU","110","H6","2015",2195.4350711345,12994.889797829,"5662.066",0,1936.653,0,0,46.001,5350.16979782903,485
"79","AK","02","KENAI PENINSULA BOROUGH","KENAI PENINSULA","122","H1","2015",5403.5495175833,47048.8805678119,"17849.386",0,2281.692,0,0,131.89,26785.9125678119,1830
"80","AK","02","KETCHIKAN GATEWAY BOROUGH","KETCHIKAN GATEWAY","130","H1","2015",1436.071996001,5053.38108224831,"2569.41",0,422.052,0,0,61.211,2000.70808224831,154
"81","AK","02","KODIAK ISLAND BOROUGH","KODIAK ISLAND","150","H1","2015",1380.9861642893,6353.97154674865,"2977.664",0,1021.741,0,0,5.062,2349.50454674865,197
"82","AK","02","LAKE AND PENINSULA BOROUGH","LAKE AND PENINSULA","164","H1","2015",115.2727723538,189.80932294169,"89.121",0,12.218,0,0,0,88.4703229416898,22
"83","AK","02","MATANUSKA-SUSITNA BOROUGH","MATANUSKA SUSITNA","170","H1","2015",10958.0044459762,105328.060276844,"46160.382",0,11631.725,0,0,365.695,47170.2582768439,3543
"84","AK","02","NOME CENSUS AREA","NOME","180","H5","2015",661.2927634801,867.722710025997,"537.383",0,94.217,0,0,3.913,232.209710025997,44
"85","AK","02","NORTH SLOPE BOROUGH","NORTH SLOPE","185","H1","2015",346.5702317745,1148.68383523141,"286.728",0,14.116,0,0,0.912,846.927835231408,39
"86","AK","02","NORTHWEST ARCTIC BOROUGH","NORTHWEST ARCTIC","188","H1","2015",460.0285744915,263.861515361637,"148.386",0,33.026,0,0,0.005,82.4445153616366,21
"87","AK","02","PETERSBURG CENSUS AREA","PETERSBURG","195","H5","2015",391.9061440605,1413.03464892316,"732.142",0,7.264,0,0,34.587,639.041648923159,55
"88","AK","02","PRINCE OF WALES-HYDER CENSUS AREA","PRINCE OF WALES-HYDER","198","H5","2015",527.759301748,2981.87073880173,"978.93",0,73.992,0,0,5.063,1923.88573880173,145
"89","AK","02","SITKA CITY AND BOROUGH","SITKA","220","H6","2015",779.644684156,3315.56431322999,"1499.051",39.66441,295.239,0,0,18.108,1463.50190322999,118
"90","AK","02","SKAGWAY MUNICIPALITY","SKAGWAY","230","H1","2015",83.2047976284,247.990844269118,"68.353",0,6.951,0,0,0.212,172.474844269118,18
"91","AK","02","SOUTHEAST FAIRBANKS CENSUS AREA","SOUTHEAST FAIRBANKS","240","H5","2015",734.9384810374,6980.04204838772,"3750.92",0,507.884,0,0,33,2688.23804838772,238
"92","AK","02","VALDEZ-CORDOVA CENSUS AREA","VALDEZ CORDOVA","261","H5","2015",1061.212659626,5089.55635307743,"2069.627",0,304.067,0,0,0.74,2715.12235307743,175
"93","AK","02","WADE HAMPTON CENSUS AREA","WADE HAMPTON","270","H5","2015",282.1302631783,682.142444733626,"390.763",0,50.602,0,0,0,240.777444733626,39
"94","AK","02","WRANGELL CITY AND BOROUGH","WRANGELL","275","H1","2015",261.4011823354,1145.06335293138,"494.94",0,53.765,0,0,10.62,585.738352931377,56
"95","AK","02","YAKUTAT CITY AND BOROUGH","YAKUTAT","282","H1","2015",76.0068837632,683.9700096974,"96.861",0,24.187,0,0,0,562.9220096974,42
"96","AK","02","YUKON-KOYUKUK CENSUS AREA","YUKON KOYUKUK","290","H5","2015",503.543612182,1912.50374962745,"752.299",0,57.986,0,0,3.802,1098.41674962745,102
"97","AZ","04","APACHE COUNTY","APACHE","001","H1","2015",4557.5745804757,27841.2212385609,"15640.931",0,1680.918,0,0,71.239,10448.1332385609,1261
"98","AZ","04","COCHISE COUNTY","COCHISE","003","H1","2015",23257.95576725,181863.447209601,"101155.644",0,12964.414,0,0,1258.566,66484.823209601,6892
"99","AZ","04","COCONINO COUNTY","COCONINO","005","H1","2015",9004.107893016,48033.7345741647,"22300.255",0,5904.302,0,0,332.372,19496.8055741647,2117
"100","AZ","04","GILA COUNTY","GILA","007","H1","2015",6228.5481996838,35541.6994571216,"19032.171",0,620.875,0,0,249.006,15639.6474571217,1808
"101","AZ","04","GRAHAM COUNTY","GRAHAM","009","H1","2015",2942.1527756086,15996.4419775433,"7027.399",0,466.087,0,0,81.109,8421.84697754332,763
"102","AZ","04","GREENLEE COUNTY","GREENLEE","011","H1","2015",1176.398057666,4128.29461515764,"1944.054",0,151.445,0,0,2.154,2030.64161515764,218
"103","AZ","04","LA PAZ COUNTY","LA PAZ","012","H1","2015",2793.879574454,14936.6582059447,"6336.255",0,211.363,0,0,37.952,8351.08820594468,742
"104","AZ","04","MARICOPA COUNTY","MARICOPA","013","H1","2015",266576.254256,1864213.07456256,"825483.238",9934.02077,263984.119,0,77335.65122,21500.813,665975.23257256,66175
"105","AZ","04","MOHAVE COUNTY","MOHAVE","015","H1","2015",25832.69940196,160973.563326832,"76455.335",0,3725.509,0,0,761.065,80031.6543268322,8357
"106","AZ","04","NAVAJO COUNTY","NAVAJO","017","H1","2015",7284.867958644,50103.1024041144,"25622.943",0,2013.178,0,0,294.147,22172.8344041144,2379
"107","AZ","04","PIMA COUNTY","PIMA","019","H1","2015",88537.2986198,740787.399248584,"304239.029",4421.63607,53530.817,0,1800.9172,7338.046,369456.953978584,30354
"108","AZ","04","PINAL COUNTY","PINAL","021","H1","2015",41282.08035366,191379.816767831,"83732.147",0,14609.417,0,0,1562.832,91475.4207678305,9575
"109","AZ","04","SANTA CRUZ COUNTY","SANTA CRUZ","023","H1","2015",2107.906925056,13525.9386776884,"6837.916",0,764.768,0,0,120.053,5803.20167768844,603
"110","AZ","04","YAVAPAI COUNTY","YAVAPAI","025","H1","2015",27794.79272912,316584.424429997,"104896.34",4651.37075,38067.8,0,706.11243,2966.713,165296.088249997,12671
"111","AZ","04","YUMA COUNTY","YUMA","027","H1","2015",19109.752692907,91687.1229990143,"51343.287",0,9186.602,0,0,890.093,30267.1409990143,4038
"112","AR","05","ARKANSAS COUNTY","ARKANSAS","001","H1","2015",1462.217466149,10493.2475812454,"4600.778",0,200.639,0,0,128.084,5563.74658124543,444
"113","AR","05","ASHLEY COUNTY","ASHLEY","003","H1","2015",1649.3402160498,11925.3104060139,"6292.897",0,335.287,0,0,100.913,5196.21340601392,461
"114","AR","05","BAXTER COUNTY","BAXTER","005","H1","2015",5540.5054749085,35095.4731788082,"19119.95",0,1021.302,0,0,296.989,14657.2321788082,1976
"115","AR","05","BENTON COUNTY","BENTON","007","H1","2015",19405.958249684,120841.327617773,"57329.082",0,4988.203,0,0,958.986,57565.0566177734,6308
"116","AR","05","BOONE COUNTY","BOONE","009","H1","2015",3550.761959996,26913.7556989575,"15193.777",0,693.915,0,0,150.153,10875.9106989575,1343
"117","AR","05","BRADLEY COUNTY","BRADLEY","011","H1","2015",1031.4844164935,6189.42083688986,"3235.21",0,84.667,0,0,33.032,2836.51183688986,250
"118","AR","05","CALHOUN COUNTY","CALHOUN","013","H1","2015",503.303486139,1770.60584929719,"881.261",0,63.577,0,0,0.27,825.497849297188,119
"119","AR","05","CARROLL COUNTY","CARROLL","015","H1","2015",2704.9901409975,18148.6066925736,"8473.241",0,229.453,0,0,221.606,9224.30669257356,970
"120","AR","05","CHICOT COUNTY","CHICOT","017","H1","2015",894.00799773,9141.57219924634,"4395.36",0,159.172,0,0,21.261,4565.77919924634,311
"121","AR","05","CLARK COUNTY","CLARK","019","H1","2015",1616.2981677548,14464.3019799926,"7075.523",0,650.421,0,0,83.497,6654.86097999256,475
"122","AR","05","CLAY COUNTY","CLAY","021","H1","2015",1403.8766357102,14073.2635326853,"6836.349",0,104.922,0,0,32.974,7099.01853268531,536
"123","AR","05","CLEBURNE COUNTY","CLEBURNE","023","H1","2015",3057.0723579975,28584.1878840264,"13366.27",0,439.771,0,0,127.646,14650.5008840264,1060
"124","AR","05","CLEVELAND COUNTY","CLEVELAND","025","H1","2015",714.337225881,6276.05115952403,"3185.445",0,84.571,0,0,28.279,2977.75615952403,252
"125","AR","05","COLUMBIA COUNTY","COLUMBIA","027","H1","2015",1590.8776815522,11821.172802724,"6359.72",0,465.686,0,0,57.989,4937.77780272405,468
"126","AR","05","CONWAY COUNTY","CONWAY","029","H1","2015",1786.6248954794,16733.1096728265,"8070.103",0,322.163,0,0,72.945,8267.89867282652,665
"127","AR","05","CRAIGHEAD COUNTY","CRAIGHEAD","031","H1","2015",7108.9949495343,41429.3072103349,"24914.866",0,2934.054,0,0,452.068,13128.3192103349,2001
"128","AR","05","CRAWFORD COUNTY","CRAWFORD","033","H1","2015",5773.795796997,46735.1839822527,"27126.181",0,1612.894,0,0,237.284,17758.8249822527,2324
"129","AR","05","CRITTENDEN COUNTY","CRITTENDEN","035","H1","2015",3689.8952437884,27613.9772788988,"12137.377",0,1141.853,0,0,144.933,14189.8142788988,1097
"130","AR","05","CROSS COUNTY","CROSS","037","H1","2015",1095.0377344817,10341.7625994556,"5106.124",0,350.809,0,0,51.955,4832.87459945564,364
"131","AR","05","DALLAS COUNTY","DALLAS","039","H1","2015",672.6663315706,4670.77012432991,"2328.93",0,91.653,0,0,12.657,2237.53012432991,197
"132","AR","05","DESHA COUNTY","DESHA","041","H1","2015",988.959275205,8874.09504536902,"4047.632",0,223.345,0,0,81.551,4521.56704536902,342
"133","AR","05","DREW COUNTY","DREW","043","H1","2015",1528.3097593707,10337.8033543863,"4993.389",0,379.779,0,0,50.739,4913.89635438633,455
"134","AR","05","FAULKNER COUNTY","FAULKNER","045","H1","2015",10257.8411741781,77469.4140151484,"35788.8",0,5557.107,0,0,370.539,35752.9680151484,2950
"135","AR","05","FRANKLIN COUNTY","FRANKLIN","047","H1","2015",1601.6474335542,14174.0301881407,"8130.109",0,465.745,0,0,93.598,5484.57818814067,710
"136","AR","05","FULTON COUNTY","FULTON","049","H1","2015",1156.927955815,11190.1145753864,"6023.685",0,218.389,0,0,36.234,4911.80657538637,494
"137","AR","05","GARLAND COUNTY","GARLAND","051","H1","2015",10136.671369639,82130.3833547212,"42419.29",0,2204.71,0,0,1398.691,36107.6923547212,3613
"138","AR","05","GRANT COUNTY","GRANT","053","H1","2015",1453.2479086487,12774.1451152906,"6627.95",0,361.669,0,0,71.77,5712.75611529055,466
"139","AR","05","GREENE COUNTY","GREENE","055","H1","2015",3117.073688286,30103.3687859118,"16835.826",0,904.601,0,0,400.951,11961.9907859118,1304
"140","AR","05","HEMPSTEAD COUNTY","HEMPSTEAD","057","H1","2015",1414.2903848339,10359.3651689375,"5553.925",0,291.095,0,0,63.755,4450.59016893753,398
"141","AR","05","HOT SPRING COUNTY","HOT SPRING","059","H1","2015",3147.035077112,22384.6395744045,"10201.303",0,487.039,0,0,63.988,11632.3095744045,989
"142","AR","05","HOWARD COUNTY","HOWARD","061","H1","2015",929.7592782135,6719.65523653848,"3801.564",0,112.446,0,0,22.887,2782.75823653848,290
"143","AR","05","INDEPENDENCE COUNTY","INDEPENDENCE","063","H1","2015",3078.6040393866,20673.0275281717,"11327.481",0,676.563,0,0,113.627,8555.35652817172,873
"144","AR","05","IZARD COUNTY","IZARD","065","H1","2015",1404.6753913918,12172.0472884909,"6441.899",0,303.714,0,0,84.901,5341.53328849091,526
"145","AR","05","JACKSON COUNTY","JACKSON","067","H1","2015",1197.1986839706,8651.47949001133,"4404.571",0,216.4,0,0,29.681,4000.82749001133,382
"146","AR","05","JEFFERSON COUNTY","JEFFERSON","069","H1","2015",6339.9518336637,65258.0820894582,"32436.635",0,2326.391,0,0,506.752,29988.3040894582,2362
"147","AR","05","JOHNSON COUNTY","JOHNSON","071","H1","2015",1864.4531100296,15446.2838597451,"8040.004",0,478.6,0,0,86.499,6841.18085974511,757
"148","AR","05","LAFAYETTE COUNTY","LAFAYETTE","073","H1","2015",593.8944675052,3783.60559975478,"1684.399",0,32.429,0,0,41.444,2025.33359975478,186
"149","AR","05","LAWRENCE COUNTY","LAWRENCE","075","H1","2015",1326.9184021584,11713.4165468806,"7280.383",0,364.466,0,0,176.547,3892.02054688065,433
"150","AR","05","LEE COUNTY","LEE","077","H1","2015",709.5281949745,3992.98181541508,"1762.93",0,111.061,0,0,13.873,2105.11781541508,165
"151","AR","05","LINCOLN COUNTY","LINCOLN","079","H1","2015",1219.7431760762,5998.68873133687,"2869.503",0,201.477,0,0,10.453,2917.25573133687,272
"152","AR","05","LITTLE RIVER COUNTY","LITTLE RIVER","081","H1","2015",992.2181273014,6680.11044784336,"4002.836",0,153.033,0,0,101.724,2422.51744784336,359
"153","AR","05","LOGAN COUNTY","LOGAN","083","H1","2015",2097.9862862003,16674.1228706179,"9422.916",0,391.136,0,0,56.34,6803.73087061786,822
"154","AR","05","LONOKE COUNTY","LONOKE","085","H1","2015",8030.4571886556,85330.6591299491,"48564.779",0,7653.547,0,0,509.788,28602.5451299491,2553
"155","AR","05","MADISON COUNTY","MADISON","087","H1","2015",1078.1861175137,11962.0410596766,"4740.637",0,197.165,0,0,60.382,6963.85705967659,579
"156","AR","05","MARION COUNTY","MARION","089","H1","2015",2506.832259133,15882.3227898599,"8505.186",0,337.711,0,0,46.368,6993.05778985987,855
"157","AR","05","MILLER COUNTY","MILLER","091","H1","2015",3554.815278004,21879.0342089998,"11730.79",0,748.715,0,0,47.262,9352.26720899978,979
"158","AR","05","MISSISSIPPI COUNTY","MISSISSIPPI","093","H1","2015",3216.6830600284,24100.0879092357,"13197.53",0,567.023,0,0,44.937,10290.5979092357,914
"159","AR","05","MONROE COUNTY","MONROE","095","H1","2015",684.404525643,5862.38188092281,"2616.495",0,70.572,0,0,47.347,3127.96788092281,241
"160","AR","05","MONTGOMERY COUNTY","MONTGOMERY","097","H1","2015",864.9868994909,8377.94750960795,"3967.875",0,145.772,0,0,99.704,4164.59650960795,399
"161","AR","05","NEVADA COUNTY","NEVADA","099","H1","2015",795.5322570882,5888.39980728992,"2919.289",0,191.82,0,0,29.564,2747.72680728992,229
"162","AR","05","NEWTON COUNTY","NEWTON","101","H1","2015",802.9685276222,6177.1905157464,"3048.028",0,56.551,0,0,25.463,3047.1485157464,310
"163","AR","05","OUACHITA COUNTY","OUACHITA","103","H1","2015",2353.7656184171,18406.9048725403,"8891.798",0,438.864,0,0,39.912,9036.33087254027,774
"164","AR","05","PERRY COUNTY","PERRY","105","H1","2015",947.086153033,8952.53108777353,"4341.167",0,209.81,0,0,79.475,4322.07908777353,368
"165","AR","05","PHILLIPS COUNTY","PHILLIPS","107","H1","2015",1326.4881282419,11913.107418886,"5602.667",0,310.189,0,0,33.132,5967.11941888605,488
"166","AR","05","PIKE COUNTY","PIKE","109","H1","2015",913.5428548904,6795.39785886452,"2769.944",0,125.939,0,0,39.992,3859.52285886452,332
"167","AR","05","POINSETT COUNTY","POINSETT","111","H1","2015",1852.3527050687,11932.5853435526,"6128.164",0,512.618,0,0,46.272,5245.53134355259,592
"168","AR","05","POLK COUNTY","POLK","113","H1","2015",1907.652280569,20209.0070085881,"10662.915",0,339.357,0,0,78.159,9128.57600858806,1024
